Date,Time,Type of Transaction,Description,Asset Sent(SYMBOL),Quantity of Asset Sent,Asset Received(SYMBOL),Quantity of Asset Received,Fee Paid In(SYMBOL),Quantity of Fee Paid,Tds Paid In(SYMBOL),Quantity of Tds Paid,Transaction Hash
2022-04-19,17:37:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-20,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-20,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-20,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-20,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-20,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-20,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-20,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-20,17:38:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-21,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-21,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-21,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-21,17:37:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-21,17:37:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-21,17:37:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-21,17:38:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-21,17:40:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-22,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-22,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-22,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-22,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-22,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-22,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-22,17:36:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-22,17:39:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-23,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-23,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-23,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-23,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-23,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-23,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-23,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-23,17:38:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-24,17:31:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-24,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-24,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-24,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-24,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-24,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-24,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-24,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-25,17:32:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-25,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-25,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-25,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-25,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-25,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-25,17:34:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-25,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-26,17:31:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-26,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-26,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-26,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-26,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-26,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-26,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-26,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-27,17:32:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-27,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
2022-04-27,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"xdc","0.1952015000000000",,,,,
2022-04-27,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"greyhound","1214.6304495600000000",,,,,
2022-04-27,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"eq","0.6781340800000000",,,,,
2022-04-27,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"smartnft","1.3149600000000000",,,,,
2022-04-27,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"smartlox","1.3149600000000000",,,,,
2022-04-27,17:35:00,INTEREST,powerpiggy_lock_interest_income,,,"vet","0.5809379400000000",,,,,
2022-04-28,17:32:00,INTEREST,powerpiggy_lock_interest_income,,,"btr","0.9972000000000000",,,,,
2022-04-28,17:33:00,INTEREST,powerpiggy_lock_interest_income,,,"lox","2.1916000000000000",,,,,
