Date(UTC),Account,Operation,Coin,Change
04/18/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/18/2022 17:38,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/19/2022 04:14,Spot,airdrop,bmax,13.0660000000000000
04/19/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/19/2022 17:34,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/19/2022 17:34,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/19/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/19/2022 17:35,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/19/2022 17:35,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/19/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/19/2022 17:37,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/20/2022 17:33,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/20/2022 17:35,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/20/2022 17:35,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/20/2022 17:36,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/20/2022 17:36,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/20/2022 17:36,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/20/2022 17:36,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/20/2022 17:38,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/21/2022 17:33,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/21/2022 17:36,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/21/2022 17:36,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/21/2022 17:37,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/21/2022 17:37,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/21/2022 17:37,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/21/2022 17:38,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/21/2022 17:40,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/22/2022 17:33,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/22/2022 17:35,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/22/2022 17:35,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/22/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/22/2022 17:36,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/22/2022 17:36,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/22/2022 17:36,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/22/2022 17:39,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/23/2022 17:33,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/23/2022 17:35,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/23/2022 17:35,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/23/2022 17:35,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/23/2022 17:35,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/23/2022 17:35,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/23/2022 17:35,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/23/2022 17:38,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/24/2022 17:31,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/24/2022 17:33,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/24/2022 17:33,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/24/2022 17:33,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/24/2022 17:33,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/24/2022 17:33,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/24/2022 17:33,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/24/2022 17:35,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/25/2022 17:32,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/25/2022 17:33,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/25/2022 17:33,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/25/2022 17:33,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/25/2022 17:33,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/25/2022 17:34,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/25/2022 17:34,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
04/25/2022 17:35,Spot,powerpiggy_lock_interest_income,vet,0.5809379400000000
04/26/2022 17:31,Spot,powerpiggy_lock_interest_income,btr,0.9972000000000000
04/26/2022 17:33,Spot,powerpiggy_lock_interest_income,lox,2.1916000000000000
04/26/2022 17:33,Spot,powerpiggy_lock_interest_income,xdc,0.1952015000000000
04/26/2022 17:33,Spot,powerpiggy_lock_interest_income,greyhound,1214.6304495600000000
04/26/2022 17:33,Spot,powerpiggy_lock_interest_income,eq,0.6781340800000000
04/26/2022 17:33,Spot,powerpiggy_lock_interest_income,smartnft,1.3149600000000000
04/26/2022 17:33,Spot,powerpiggy_lock_interest_income,smartlox,1.3149600000000000
